Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1928.933: [GC (Allocation Failure) [PSYoungGen: 1566511K->5536K(1566720K)] 1674027K->113971K(2091008K), 0.0059809 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
1938.957: [GC (Allocation Failure) [PSYoungGen: 1566112K->5633K(1566720K)] 1674547K->114091K(2091008K), 0.0054389 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
1949.021: [GC (Allocation Failure) [PSYoungGen: 1566209K->5345K(1566720K)] 1674667K->113843K(2091008K), 0.0065512 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1959.050: [GC (Allocation Failure) [PSYoungGen: 1565921K->5312K(1566720K)] 1674419K->114035K(2091008K), 0.0078567 secs] [Times: user=0.12 sys=0.03, real=0.01 secs] 
1969.114: [GC (Allocation Failure) [PSYoungGen: 1565888K->5729K(1566720K)] 1674611K->114563K(2091008K), 0.0068758 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1979.120: [GC (Allocation Failure) [PSYoungGen: 1566305K->5825K(1566720K)] 1675139K->114747K(2091008K), 0.0065702 secs] [Times: user=0.13 sys=0.01, real=0.00 secs] 
1989.145: [GC (Allocation Failure) [PSYoungGen: 1566401K->6031K(1566720K)] 1675323K->115042K(2091008K), 0.0072396 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1999.233: [GC (Allocation Failure) [PSYoungGen: 1566607K->5825K(1565696K)] 1675618K->115778K(2089984K), 0.0063547 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2009.303: [GC (Allocation Failure) [PSYoungGen: 1565377K->5601K(1566208K)] 1675330K->115722K(2090496K), 0.0063827 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2019.392: [GC (Allocation Failure) [PSYoungGen: 1565153K->5665K(1566208K)] 1675274K->115818K(2090496K), 0.0070468 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2029.513: [GC (Allocation Failure) [PSYoungGen: 1565217K->5729K(1566208K)] 1675370K->115986K(2090496K), 0.0064459 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
2039.581: [GC (Allocation Failure) [PSYoungGen: 1565281K->5729K(1566208K)] 1675538K->116210K(2090496K), 0.0069367 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
2049.706: [GC (Allocation Failure) [PSYoungGen: 1565281K->5281K(1566208K)] 1675762K->115866K(2090496K), 0.0045930 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2059.714: [GC (Allocation Failure) [PSYoungGen: 1564833K->5967K(1566208K)] 1675418K->116705K(2090496K), 0.0070871 secs] [Times: user=0.10 sys=0.02, real=0.00 secs] 
2069.726: [GC (Allocation Failure) [PSYoungGen: 1565482K->5665K(1566208K)] 1676219K->117385K(2090496K), 0.0055716 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
2079.781: [GC (Allocation Failure) [PSYoungGen: 1565217K->5729K(1566208K)] 1676937K->117537K(2090496K), 0.0064467 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2089.833: [GC (Allocation Failure) [PSYoungGen: 1565281K->5761K(1566208K)] 1677089K->117641K(2090496K), 0.0060381 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
2099.842: [GC (Allocation Failure) [PSYoungGen: 1565313K->5505K(1566208K)] 1677193K->117465K(2090496K), 0.0060262 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2109.885: [GC (Allocation Failure) [PSYoungGen: 1565057K->5793K(1566208K)] 1677017K->117889K(2090496K), 0.0049013 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2119.915: [GC (Allocation Failure) [PSYoungGen: 1565345K->5665K(1566720K)] 1677441K->117857K(2091008K), 0.0044607 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2129.888: [GC (Allocation Failure) [PSYoungGen: 1565729K->6127K(1566208K)] 1677921K->118591K(2090496K), 0.0061406 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2139.976: [GC (Allocation Failure) [PSYoungGen: 1566191K->5665K(1566208K)] 1678655K->118839K(2090496K), 0.0060432 secs] [Times: user=0.10 sys=0.02, real=0.00 secs] 
2149.963: [GC (Allocation Failure) [PSYoungGen: 1565217K->5761K(1566208K)] 1678391K->118959K(2090496K), 0.0060027 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2159.964: [GC (Allocation Failure) [PSYoungGen: 1565313K->5537K(1566208K)] 1678511K->118903K(2090496K), 0.0059019 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2169.973: [GC (Allocation Failure) [PSYoungGen: 1565089K->5761K(1566208K)] 1678455K->119207K(2090496K), 0.0062657 secs] [Times: user=0.12 sys=0.01, real=0.01 secs] 
2179.996: [GC (Allocation Failure) [PSYoungGen: 1565313K->5697K(1566208K)] 1678759K->119263K(2090496K), 0.0051270 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2190.002: [GC (Allocation Failure) [PSYoungGen: 1565249K->5793K(1566208K)] 1678815K->119471K(2090496K), 0.0067261 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
