Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
592.235: [GC (Allocation Failure) [PSYoungGen: 21752501K->655255K(22609920K)] 22372612K->1276575K(25755648K), 0.1208473 secs] [Times: user=4.27 sys=0.00, real=0.12 secs] 
595.301: [GC (Allocation Failure) [PSYoungGen: 21757847K->639710K(22609920K)] 22379167K->1262094K(25755648K), 0.1190658 secs] [Times: user=4.19 sys=0.00, real=0.12 secs] 
598.356: [GC (Allocation Failure) [PSYoungGen: 21742302K->644085K(22609920K)] 22364686K->1267372K(25755648K), 0.1182491 secs] [Times: user=4.10 sys=0.00, real=0.12 secs] 
601.413: [GC (Allocation Failure) [PSYoungGen: 21746677K->643045K(22609920K)] 22369964K->1267244K(25755648K), 0.1176950 secs] [Times: user=4.12 sys=0.00, real=0.11 secs] 
604.443: [GC (Allocation Failure) [PSYoungGen: 21745637K->646601K(22609920K)] 22369836K->1271649K(25755648K), 0.1187534 secs] [Times: user=4.18 sys=0.00, real=0.11 secs] 
607.468: [GC (Allocation Failure) [PSYoungGen: 21749193K->643701K(22609920K)] 22374241K->1269676K(25755648K), 0.1230618 secs] [Times: user=4.29 sys=0.00, real=0.12 secs] 
610.494: [GC (Allocation Failure) [PSYoungGen: 21746293K->647605K(22609920K)] 22372268K->1274476K(25755648K), 0.1199968 secs] [Times: user=4.13 sys=0.00, real=0.12 secs] 
613.522: [GC (Allocation Failure) [PSYoungGen: 21750197K->640677K(22609920K)] 22377068K->1268340K(25755648K), 0.1171022 secs] [Times: user=4.13 sys=0.00, real=0.12 secs] 
616.396: [GC (Allocation Failure) [PSYoungGen: 21743269K->817005K(22609920K)] 22370932K->1445421K(25755648K), 0.1452467 secs] [Times: user=5.14 sys=0.00, real=0.14 secs] 
619.454: [GC (Allocation Failure) [PSYoungGen: 21919597K->700666K(22609920K)] 22548013K->1329818K(25755648K), 0.1278820 secs] [Times: user=4.52 sys=0.00, real=0.13 secs] 
622.436: [GC (Allocation Failure) [PSYoungGen: 21803258K->700926K(22609920K)] 22432410K->1330901K(25755648K), 0.1289715 secs] [Times: user=4.43 sys=0.01, real=0.12 secs] 
625.346: [GC (Allocation Failure) [PSYoungGen: 21803518K->730031K(22609920K)] 22433493K->1360975K(25755648K), 0.1321320 secs] [Times: user=4.67 sys=0.00, real=0.13 secs] 
628.304: [GC (Allocation Failure) [PSYoungGen: 21832623K->731752K(22609920K)] 22463567K->1363376K(25755648K), 0.1317295 secs] [Times: user=4.66 sys=0.00, real=0.13 secs] 
631.326: [GC (Allocation Failure) [PSYoungGen: 21834344K->741881K(22609920K)] 22465968K->1374321K(25755648K), 0.1339188 secs] [Times: user=4.73 sys=0.00, real=0.14 secs] 
634.264: [GC (Allocation Failure) [PSYoungGen: 21844473K->728310K(22609920K)] 22476913K->1361470K(25755648K), 0.1310912 secs] [Times: user=4.64 sys=0.00, real=0.13 secs] 
637.183: [GC (Allocation Failure) [PSYoungGen: 21830902K->786782K(22609920K)] 22464062K->1420621K(25755648K), 0.1412981 secs] [Times: user=5.01 sys=0.00, real=0.14 secs] 
640.154: [GC (Allocation Failure) [PSYoungGen: 21889374K->763860K(22609920K)] 22523213K->1398356K(25755648K), 0.1382991 secs] [Times: user=4.90 sys=0.00, real=0.14 secs] 
643.168: [GC (Allocation Failure) [PSYoungGen: 21866452K->705972K(22609920K)] 22500948K->1341148K(25755648K), 0.1294784 secs] [Times: user=4.50 sys=0.00, real=0.13 secs] 
646.133: [GC (Allocation Failure) [PSYoungGen: 21808564K->753093K(22609920K)] 22443740K->1388973K(25755648K), 0.1355182 secs] [Times: user=4.75 sys=0.00, real=0.13 secs] 
649.175: [GC (Allocation Failure) [PSYoungGen: 21855685K->780820K(22609920K)] 22491565K->1417476K(25755648K), 0.1398452 secs] [Times: user=4.95 sys=0.00, real=0.14 secs] 
652.133: [GC (Allocation Failure) [PSYoungGen: 21883412K->762333K(22609920K)] 22520068K->1399741K(25755648K), 0.1375579 secs] [Times: user=4.80 sys=0.00, real=0.14 secs] 
655.136: [GC (Allocation Failure) [PSYoungGen: 21864925K->782145K(22609920K)] 22502333K->1420185K(25755648K), 0.1376567 secs] [Times: user=4.87 sys=0.01, real=0.14 secs] 
658.181: [GC (Allocation Failure) [PSYoungGen: 21884737K->779781K(22609920K)] 22522777K->1418549K(25755648K), 0.1406232 secs] [Times: user=4.88 sys=0.00, real=0.14 secs] 
661.163: [GC (Allocation Failure) [PSYoungGen: 21882373K->750249K(22609920K)] 22521141K->1389705K(25755648K), 0.1350264 secs] [Times: user=4.78 sys=0.00, real=0.13 secs] 
664.228: [GC (Allocation Failure) [PSYoungGen: 21852841K->761444K(22609920K)] 22492297K->1401652K(25755648K), 0.1379112 secs] [Times: user=4.87 sys=0.00, real=0.14 secs] 
667.560: [GC (Allocation Failure) [PSYoungGen: 21864036K->807403K(22609920K)] 22504244K->1448251K(25755648K), 0.1437492 secs] [Times: user=5.10 sys=0.00, real=0.15 secs] 
667.820: [GC (System.gc()) [PSYoungGen: 1278788K->654708K(22609920K)] 1919636K->1296188K(25755648K), 0.1139281 secs] [Times: user=3.85 sys=0.00, real=0.12 secs] 
667.934: [Full GC (System.gc()) [PSYoungGen: 654708K->0K(22609920K)] [ParOldGen: 641479K->239108K(3145728K)] 1296188K->239108K(25755648K), [Metaspace: 22319K->22319K(1069056K)], 0.1185605 secs] [Times: user=2.85 sys=0.02, real=0.11 secs] 
688.367: [GC (Allocation Failure) [PSYoungGen: 21102592K->953343K(22609920K)] 21341700K->1192459K(25755648K), 0.1593859 secs] [Times: user=5.32 sys=0.00, real=0.16 secs] 
695.054: [GC (Allocation Failure) [PSYoungGen: 22055935K->939462K(22609920K)] 22295051K->1178579K(25755648K), 0.1395638 secs] [Times: user=4.91 sys=0.00, real=0.14 secs] 
700.367: [GC (Allocation Failure) [PSYoungGen: 22042054K->979651K(22609920K)] 22281171K->1218767K(25755648K), 0.1457373 secs] [Times: user=5.13 sys=0.01, real=0.15 secs] 
704.895: [GC (Allocation Failure) [PSYoungGen: 22082243K->1067444K(22609920K)] 22321359K->1306560K(25755648K), 0.1609156 secs] [Times: user=5.70 sys=0.00, real=0.16 secs] 
708.794: [GC (Allocation Failure) [PSYoungGen: 22170036K->1018696K(22609920K)] 22409152K->1257812K(25755648K), 0.1526785 secs] [Times: user=5.34 sys=0.00, real=0.15 secs] 
712.234: [GC (Allocation Failure) [PSYoungGen: 22121288K->983751K(22609920K)] 22360404K->1222867K(25755648K), 0.1458896 secs] [Times: user=5.15 sys=0.00, real=0.15 secs] 
715.480: [GC (Allocation Failure) [PSYoungGen: 22086343K->990989K(22609920K)] 22325459K->1230105K(25755648K), 0.1474993 secs] [Times: user=5.20 sys=0.00, real=0.14 secs] 
718.667: [GC (Allocation Failure) [PSYoungGen: 22093581K->1017952K(22609920K)] 22332697K->1257068K(25755648K), 0.1522049 secs] [Times: user=5.33 sys=0.00, real=0.15 secs] 
721.768: [GC (Allocation Failure) [PSYoungGen: 22120544K->1013686K(22609920K)] 22359660K->1252802K(25755648K), 0.1520237 secs] [Times: user=5.32 sys=0.00, real=0.15 secs] 
724.851: [GC (Allocation Failure) [PSYoungGen: 22116278K->1034589K(22609920K)] 22355394K->1273705K(25755648K), 0.1530976 secs] [Times: user=5.41 sys=0.00, real=0.16 secs] 
727.958: [GC (Allocation Failure) [PSYoungGen: 22137181K->1015630K(22609920K)] 22376297K->1254746K(25755648K), 0.1515595 secs] [Times: user=5.32 sys=0.01, real=0.15 secs] 
730.942: [GC (Allocation Failure) [PSYoungGen: 22118222K->1121540K(22609920K)] 22357338K->1360656K(25755648K), 0.1691213 secs] [Times: user=5.98 sys=0.01, real=0.16 secs] 
